old_fk_score,new_fk_score,old_fk_grade,new_fk_grade,old_ar_index,new_ar_index,old_gf_index,new_gf_index
1,68.81926470588238,12.26000000000002,5.772058823529413,17.76,14.32285714285714,17.65615384615385,19.87058823529412,35.6
2,41.06107843137258,38.16500000000002,10.347647058823531,12.407777777777778,7.280476190476186,8.149473684210527,24.53333333333333,24.977777777777774
3,27.485000000000014,58.4075,11.91,9.087500000000002,9.612857142857145,6.187058823529412,24.0,16.400000000000002
4,73.84500000000001,57.23363636363638,4.450000000000003,8.009090909090911,6.582727272727272,7.334999999999997,19.06666666666667,22.581818181818186
5,26.236258503401388,23.42500000000001,13.657551020408164,13.470000000000002,15.0873,11.003125000000004,26.125170068027213,22.742857142857144
6,70.66750000000002,35.60500000000002,4.520555555555557,8.790000000000003,7.666666666666668,-1.09,19.57777777777778,20.8
7,9.532590206185604,12.425000000000011,17.954097938144333,12.52,21.817619047619047,6.504000000000001,29.49381443298969,31.6
8,44.415454545454566,27.25526315789477,9.796969696969697,14.177894736842106,10.644761904761909,13.532999999999994,20.15757575757576,24.44210526315789
9,42.60000000000002,53.655,9.553333333333336,8.756666666666668,15.443513513513516,7.533076923076923,19.15555555555556,21.46666666666667
10,-3.2510144927535976,17.932307692307717,15.61739130434783,13.98769230769231,14.964000000000006,11.189999999999998,27.414492753623197,26.738461538461536
11,-15.662499999999966,35.60500000000002,16.065000000000005,8.790000000000003,4.003333333333334,-1.09,25.0,20.8
12,1.2888636363636294,40.09,14.445909090909094,9.655,6.965714285714284,5.573333333333334,24.018181818181816,23.200000000000003
13,47.434318181818185,62.79000000000002,8.009545454545457,5.246666666666666,6.335454545454546,-0.5899999999999999,13.109090909090908,14.533333333333331
14,31.037500000000023,43.96307692307696,10.545000000000002,10.356923076923078,12.605384615384615,9.12,27.21538461538462,26.738461538461536
15,45.64500000000001,-35.11999999999995,8.383333333333333,19.4,11.867894736842103,16.11,22.4,34.0
16,44.82306896551725,9.700000000000015,9.889172413793109,14.142222222222228,10.857580645161292,5.721538461538465,22.571034482758623,25.822222222222223
17,39.49229885057474,51.16126436781613,10.152413793103449,8.524827586206897,11.156551724137934,7.277000000000001,25.935632183908048,23.177011494252877
18,30.947692307692336,37.455384615384645,12.172307692307694,11.264615384615386,18.19961538461539,10.265555555555558,22.123076923076923,20.58461538461539
19,33.57500000000002,162.505,9.57,-8.91,0.2325000000000017,-11.365,21.6,0.8
20,2.470274390243929,35.5107142857143,15.461158536585366,11.784285714285716,20.582142857142863,7.1080000000000005,26.539024390243902,22.742857142857144
